epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.192421, TESTLOSS 0.285273, testACC 96.45%, testmAP 94.33%, bestTestmAP 94.33%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.134799, TESTLOSS 0.275453, testACC 97.08%, testmAP 95.77%, bestTestmAP 95.77%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.105304, TESTLOSS 0.454987, testACC 93.86%, testmAP 88.19%, bestTestmAP 95.77%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.091185, TESTLOSS 0.400194, testACC 94.37%, testmAP 89.15%, bestTestmAP 95.77%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.355808, TESTLOSS 0.316957, testACC 96.11%, testmAP 93.42%, bestTestmAP 93.42%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.184403, TESTLOSS 0.382846, testACC 94.32%, testmAP 89.03%, bestTestmAP 93.42%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.132709, TESTLOSS 0.270297, testACC 97.03%, testmAP 94.79%, bestTestmAP 94.79%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.097885, TESTLOSS 0.530063, testACC 93.16%, testmAP 86.52%, bestTestmAP 94.79%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.078649, TESTLOSS 0.352423, testACC 94.95%, testmAP 90.06%, bestTestmAP 94.79%

---------------------------------
Sin fine-tuning
epoch 1, 10 total epochs, LR 0.000100, TRAINLOSS 0.747671, TESTLOSS 0.648448, testACC 87.37%, testmAP 81.16%, bestTestmAP 81.16%
epoch 2, 10 total epochs, LR 0.000100, TRAINLOSS 0.395663, TESTLOSS 0.636607, testACC 88.26%, testmAP 80.77%, bestTestmAP 81.16%
epoch 3, 10 total epochs, LR 0.000100, TRAINLOSS 0.269399, TESTLOSS 0.677271, testACC 88.02%, testmAP 78.92%, bestTestmAP 81.16%
epoch 4, 10 total epochs, LR 0.000100, TRAINLOSS 0.208187, TESTLOSS 0.666718, testACC 88.84%, testmAP 79.87%, bestTestmAP 81.16%
epoch 5, 10 total epochs, LR 0.000100, TRAINLOSS 0.170925, TESTLOSS 0.709995, testACC 89.28%, testmAP 80.73%, bestTestmAP 81.16%
epoch 6, 10 total epochs, LR 0.000100, TRAINLOSS 0.148651, TESTLOSS 0.904027, testACC 87.11%, testmAP 75.75%, bestTestmAP 81.16%
epoch 7, 10 total epochs, LR 0.000100, TRAINLOSS 0.129786, TESTLOSS 0.709938, testACC 89.19%, testmAP 81.79%, bestTestmAP 81.79%
epoch 8, 10 total epochs, LR 0.000100, TRAINLOSS 0.115206, TESTLOSS 0.773360, testACC 88.76%, testmAP 80.50%, bestTestmAP 81.79%
epoch 9, 10 total epochs, LR 0.000100, TRAINLOSS 0.104743, TESTLOSS 0.820185, testACC 87.62%, testmAP 76.35%, bestTestmAP 81.79%
epoch 10, 10 total epochs, LR 0.000100, TRAINLOSS 0.095580, TESTLOSS 0.781388, testACC 89.08%, testmAP 80.24%, bestTestmAP 81.79%

